rate,target,prev_decision,next_decision,cpi_diff_year,infl_exp,unem_diff_year,gdp_diff_year
2019-06-01,2.625,-1.0,-1.0,0.0,2.3023023023022993,2.9,-0.2599018630000005,1.1185581415826804
2019-07-01,2.5,0.0,-1.0,-1.0,2.205148672919585,2.8,-0.30481738099999944,1.4599384048781785
2019-08-01,2.5,-1.0,0.0,-1.0,2.3028611304954665,2.8,-0.14726312200000002,3.4209613224666895
2019-09-01,2.055555556,-1.0,-1.0,-1.0,2.1092428614068153,2.8,-0.13299317699999946,2.0472449731433464
2019-10-01,1.943181818,-1.0,-1.0,0.0,2.536914081855121,2.9,-0.27082702100000056,-3.41781556120869
2019-11-01,1.75,0.0,-1.0,0.0,2.7077960722078998,2.7,-0.3508192079999999,-4.5944148257815085
2019-12-01,1.75,0.0,0.0,0.0,3.0007949125596145,3.2,-0.08329422699999967,-0.4526376980401131
2020-01-01,1.75,0.0,0.0,-1.0,3.4640198511166203,3.2,0.31350215800000036,1.5335975431931639
2020-02-01,1.75,-1.0,0.0,-1.0,3.8892747296358636,3.0,0.776241389,1.8562257733308558
2020-03-01,1.375,-1.0,-1.0,0.0,3.7424706230868043,3.2,0.9922298569999999,-5.050032365667703
2020-04-01,0.5,0.0,-1.0,0.0,3.4173724640535736,2.9,1.9055178429999993,-13.241032594154792
2020-05-01,0.5,0.0,0.0,0.0,2.7508565834556906,2.5,3.9746526299999996,-14.867978040509817
2020-06-01,0.5,0.0,0.0,0.0,2.632093933463794,2.5,4.9640470500000005,-14.574809149657536
2020-07-01,0.5,0.0,0.0,0.0,2.4992677926388636,2.5,5.54257532,-12.294701212924412
2020-08-01,0.5,0.0,0.0,0.0,2.4459169752484806,2.5,5.335653484,-10.583606343844707
2020-09-01,0.5,0.0,0.0,0.0,3.0887654681866916,2.6,5.01099334,-6.786571970060051
2020-10-01,0.5,0.0,0.0,0.0,2.947714313327532,2.7,4.435958951000001,-0.7659909872727064
2020-11-01,0.5,0.0,0.0,0.0,2.732979237083533,2.9,3.797714686,0.7894583761892249
2020-12-01,0.5,0.0,0.0,0.0,2.9712521705575905,2.9,3.223149661999999,0.30786346369896483
2021-01-01,0.5,0.0,0.0,0.0,3.117805065234075,3.0,2.7840865600000004,-1.0725892725202621
2021-02-01,0.5,0.0,0.0,0.0,2.8459554961321785,3.0,2.494002043000001,0.14438791847263444
2021-03-01,0.5,0.0,0.0,0.0,2.8840662478583674,3.0,2.1253005629999997,5.870072752060703
2021-04-01,0.5,0.0,0.0,0.0,3.3234930006665984,3.0,1.2425115260000013,14.125899208132042
2021-05-01,0.5,0.0,0.0,1.0,3.6490091463414753,3.0,-1.1696313800000002,19.100162066864844
2021-06-01,0.5,1.0,0.0,1.0,3.803985127276189,3.2,-2.7213714630000005,21.408437911845063
2021-07-01,0.630952381,1.0,1.0,1.0,4.543289837127356,3.3,-4.157927197000001,20.250745303222793
2021-08-01,0.75,1.0,1.0,1.0,4.775040426139076,3.5,-4.359895429,17.275313849749224
2021-09-01,1.5,1.0,1.0,1.0,5.340264650283559,4.3,-3.942679524999999,14.217958403160358
2021-10-01,2.25,1.0,1.0,1.0,6.027037176117163,4.5,-3.5004382530000004,13.693011735202393
2021-11-01,2.75,1.0,1.0,1.0,6.702387666854682,4.8,-3.2303739249999994,12.709060856877391
2021-12-01,3.464285714,1.0,1.0,1.0,7.166947723440141,4.8,-3.096425301999999,8.857809027461652
2022-01-01,4.214285714,1.0,1.0,1.0,7.703042143455206,4.7,-2.95569607,7.375982333169327
2022-02-01,5.5,1.0,1.0,1.0,7.80945305970842,4.8,-2.8059994180000007,6.043122811666786
2022-03-01,5.630434783,1.0,1.0,1.0,9.408825978351375,5.3,-2.555944491,7.9908106538702315
2022-04-01,7.0,1.0,1.0,1.0,10.516129032258062,6.0,-2.4968739330000007,8.103618621036263
2022-05-01,8.022727273,1.0,1.0,1.0,11.54517878481477,6.2,-2.2333216919999996,5.622848981688262
2022-06-01,8.8125,1.0,1.0,1.0,12.490815576781786,6.5,-1.6850144659999993,3.7144023836445377
2022-07-01,9.428571429,1.0,1.0,1.0,13.119533527696783,7.1,-1.0144776579999997,-0.3359315604488657
2022-08-01,9.75,1.0,1.0,1.0,14.089877439854739,7.3,-0.6181662759999993,0.3420974784929143
2022-09-01,10.55,1.0,1.0,1.0,13.728129205921935,7.0,-0.36558674800000013,-0.2989996986072062
2022-10-01,11.06578947,1.0,1.0,0.0,12.812112626173189,6.3,-0.10821990800000059,-0.849171343490129
2022-11-01,11.25,0.0,1.0,0.0,13.338031891463306,5.8,0.4211740809999993,-2.1185849394146334
2022-12-01,11.25,0.0,0.0,0.0,12.78957950869832,5.3,0.6728553829999999,-0.9512623643693467
